PromotionId,description,bad
1NWLCAAGekw9uuVviBnzBNawVBhHnh,"โปรโมชั่นพิเศษสุดคุ้ม 



ซื้อ 1 โต๊ะ ฟรี 1 โต๊ะ กับโต๊ะจีนฮ่องเต้ความอร่อยระดับ 5 ดาว ด้วยวัตถุดิบชั้นเลิศ 



หลากหลายเมนูความอร่อย ทั้ง เป็ดปักกิ่ง, หูฉลามกระเพาะปลาสด, เป๋าฮื้อแอฟริกาเห็ดหอมผักกาดแก้ว, ปลาเก๋าเสือนึ่งซีอิ้ว, บัวลอยน้ำขิง เป็นต้น 



ในราคาโต๊ะละ 18,000 บาท++ 



ณ ห้องอาหารจีนหยู เห้อ บริการทั้งมื้อกลางวัน 11.30 น. - 14.30 น. 



และ มื้อค่ำ 18.00 น. - 22.30 น",0
1NWLBo3iRy3Gr5pyZsxzE7CEUGi02q,,0
1NWLDD8hn3EWM4GAaWyfLjIxGj8SaT,สั่งกระเพราะไก่แถมไข่ดาวหนึ่งใบครับ,1
1NWLBHUwuq0UqWEMNFISRVu5k3OYfm,,0
1NWLDAMxfoR2FSFtZcLovsCFPxqPHx,"โปรฯ ""คน มัน ใหม่"" แจกให้กินฟรี 500 บาท 100 รางวัล!! 





เราเพิ่งเปิดร้านใหม่จะรู้ได้ไงว่าเราอร่อยจริง เราเลยแจก ให้คุณกินฟรี 500 บาท 100 รางวัล เพื่อให้มากินให้รู้ไปเลยว่าร้านเราเด็ดดวงแค่ไหน 





เงื่อนไข


1.เพียงแค่ คุณ Like และ Comment Tag เพื่อนที่อยากกินกุ้งด้วยกันที่หน้า Post ใน facebook page ร้าน





2.เราจะประกาศผลผู้โชคดีภายใน 30 กันยายน นี้ (โดยการ inbox กลับไป)





3.ใช้ได้ทั้งมากินที่ร้านหรือให้ไปส่งที่บ้านก็ได้ (ไม่รวมค่าส่ง)





**ร้านเปิด 11.00-23.00 (ครัวปิด 22.00)**


---------------------------------------------------------


สำหรับ Delivery 👇วิธีการสั่ง👇


📱สั่งผ่าน Lineman ได้เลยนะครับ หาคำว่า ""คนมันกุ้ง"" ง่ายๆอิ่มอร่อยสบายอยุ่บ้านได้เลยจ้า 


หรือจะโทร ไลน์ ผ่านให้ทางร้านจัดการให้ก็ได้ครับ ** รับออเดอร์ 11.00 - 22.00 เท่านั้นนะครับ **


---------------------------------------------------------


🦐 Follow us 🦐


Line : @konmunkung


Facebook : konmunkung


โทร : 064 414 7844





แผนที่ร้าน : ร้านอยู่ในโครงการ Tree square ทาวน์ อิน ทาวน์


📌📌https://goo.gl/maps/DXTAh5Z4jds





#คนมันกุ้ง #konmunkung


#คนมันกุ้งอยู่ในโครงการTreesquareทาวน์อินทาวน์


#ทาวน์อินทาวน์ #Townintown


#treesquare",1
1NWLB0W9lt3khownz2QmDuTQClvyib,"ฉลองวันแม่กับบ้านนินตรา มียำสายบัวให้คุณแม่ทุกโต๊ะ ฟรี


ตั้งแต่วันที่ 10-13 สค. นี้  ....แล้วพบกันนะคะ


",0
1NWLAvQUbpcwTtKoFVGq2GNrz4v1wT,"Artisanal Italian Cheeses  : Savour authentic Italian fare crafted with Artisanal Italian Cheeses from Antica Luna by Chef Roberto.







- Fresh Burrata with roasted cherry tomato, Himalaian rock salt and figs juice.  - THB450



- Pizza with stracchino cheese crispy walnuts and rocket pesto.  - THB340



- Skewers with Bocconcini, grilled capsicum and spicy dressing. -  THB310















",1
1NWLAvtJV2wVlBV9EOtglj8nvYJOGr,"ซื้อ1แก้ว แถม1แก้ว ฟรี!!!!!



ตั้งแต่เวลา 17.00 - 19.00



Happy Hours for every Afternoon Hour!!!



* TIMINGS : 17.00 - 19.00



* OFFER: Inclusive of beer, wine and our signature Cocktails with one get one free!!!







Reservation please call : +66 76608885



",1
1NWLCzV6hLOyMUxQSXppKrOyWNRQyD,"มินิสุดๆ 59, 


super mini 59THB",1
1NWLD4V7nEfFm24AXGx6FPF4OSw7Uk,ซื้อ 1 ได้ถึง 2 กับเมนูเบอเกอร์แสนอร่อยที่ห้องอาหาร Aqua Pool Bar & Cafe เลือกได้ 3 แบบ 3 สไตล์ ราคาเพียง 399 บาท สุทธิ เท่านั้น,0
1NWLCzm92Yqm9lBXuzdFonb338Cwji,เค้กทำได้ไหมและราคา,1
1NWLCzatLmrECSFo4blGCIMQpYfDyN,https://m.facebook.com/At-Last-steak-1145780235538933/,1
1NWLCCd1OT0Cd5Uh31pMCPcqN0lKn5,,1
1NWLDDpEDbigz46oC6SDNPn6IVnnWH,"Pls like Facebook + check-in + share + review


ร้านอาหารทะเลสดอาเตี่ย ซีฟู้ด ริเวอร์ไซด์


https://www.facebook.com/artiaseafood/


โชว์และรับส่วนลด ค่าอาหาร 5%นะคะ",1
1NWLBObwUzCkL0KemIlInnWaVLzwJX,,1
1NWLBTxKCFn39JTZhaUGKcZHLJml86,,1
1NWLDBtqBF0KMydP3YNKivTkNC4IyO,"ฟรี!!! เครื่องดื่ม โปรโมชั่น วันนี้-31ต.ค.61 


ซื้อครบ 250.- 


กดถูกใจเพจ แจ้งพนักงาน


#รับเครื่องดื่มฟรีทันที 1 แก้ว





ที่ร้านมีบริการ 


อาหารตามสั่งเริ่มต้น 50฿


เครื่องดื่มเริ่มต้น 35฿


บิงซูเริ่มต้น 89 ฿


สเต็ก 99 ฿


สปาเก็ตตี้ 80฿ 


เมนูของหวาน


และอาหารอื่นๆอีกมากมายรอคุณอยู่ แล้วเจอกันที่ร้าน ^^


เปิดบริการทุกวัน 10.00น.-22.00น. 


Tel:087-0176182",0
1NWLCeOm6pJwJfF8U9NN0UkIOmfFZT,สุกี้อร่อยที่สุด ต้องชิม,1
1NWLBfXNA9KDxLZ6ClOPOy1ojSKtT3,"เมนูล่าสุด



 จ่ายผ่านพร้อมเพย์



QR CODE KBANK KRUNGSRI 



TRUEMONEY WALLET เกิน1000 บาท ฟรีทุกเมนูไม่เกิน 50 บาท",1
1NWLD4B8d7F6s5x1VA6j4YFDNKJCnV,ราคาใหม่ 25฿,1
1NWLAz2c2Tsl9FZye37lKJJ72hJbkb,ขาบูฟินน บุฟเฟต์ ที่ สุขุมวิท 113 ซอยวัดด่าน 28 ใต้ตึกเดอะคิดส์คอนโด,1
1NWLCQgj3uNBGjM7JWisVkjqSKHCql,,0
1NWLA7pDgz3QEyKvMswAWtXVzcI9Ra,"โปรมื้อค่ำ มี 2 แบบให้เลือก 17:00-23:00


เมื่อสั่งซุปต้นตำรับ ราคา800บาท...


1)รับฟรี! ชุดลูกชิ้นเนื้อรวม/หมูรวม ลูกชิ้นลาวารวม และชุดผักรวม มูลค่า320.-


2)รับส่วนลด50% เมื่อสั่งเนื้อ Himawari ทุกประเภท",0
1NWLCyJdLofaGl6briH4MVqUZrQbtB,"โอรีโอนมสดปั่นไข่มุก


ราคา35บาท",1
1NWLAIeZgHL9GaQFXmwqlxtM34qGmG,Happy birthday,0
1NWLCvrwctM1BgOzzjMYfHQ9LujdRI,,0
1NWLCRVCTNrwS8tCQy0rx0UBfd9TVz,โปรดี ฟรีกระเป๋า จ้า !!!Cookies Lover Set เมื่อซื้อคุกกี้ครบ 4 กล่อง รสใดก็ได้ รับ กระเป๋าน่ารักๆ Milk Cheese Woven Tote *เริ่มตั้งแต่วันนี้ - 30 กันยายน 2561,0
1NWLAZRkEFtJ4CHB652hcyjnOnFVmF,,1
1NWLCCd3tg2upNERMhzRVOxhPF2EYz,,1
1NWLC1ggbB7A2OMxDKIgNCvaYZgTxM,"ลูกค้านำแก้วส่วนตัวมาซื้อเครื่องดื่มในร้านมูลค่า 50 บาทขึ้นไป รับส่วนลด 5 บาททันที



***ขอสงวนสิทธิ์เฉพาะแก้ว Double wall หรือแก้ว Tumbler เท่านั้น แก้วพลาสติกรียูสไม่ร่วมรายการนะคะ",0
1NWLBtHu9OpaJJIeFPwPIiDlEOJ4Cj,พิเศษสำหรับลูกค้าดีแทค ร้านฮาวยินดีมอบส่วนลด 15 บาทสำหรับทุกเมนูนะคะ สามารถใช้สิทธิได้ทั้งที่ร้านและบริการเดลิเวอรี่ค่ะ,0
1NWLBf0MdVhFHn0rmeC3hP3YGjr2SG,ชานมไข่มุก หอมชาเข้มข้น มีความหอมมัน ไข่มุกเคี้ยวหนึบอร่อยค่ะ playtea@icloud.com,1
1NWLBNx5ZzejWNM6IgvHnL4jTslOvW,สำหรับลูกค้าจาก”วงใน”แก้วที่2ลด5บาท,0
1NWL9t3LOvQZXxyyPd075XKGpgLJrz,โปรโมชั่นสุดคุ้ม Buy 1 Get 1 เครื่องดื่มเย็นและปั่น ทุกวันจันทร์ และ พฤหัส ตั้งแต่ 12.00น.-17.00น. ยกเว้นเครื่องดื่ม โปรประจำเดือน น้ำส้ม น้ำแร่ และน้ำฝรั่ง              สาขาที่ไม่ร่วมรายการ  :สาขาหน้าพระลาน,0
1NWLBt8fLKQCQM6pHIjuM6ddMrGRkb,มาอีกต่อแถวกันอีกรอบ ซื้อ 1 แถม 1 ทุกไซร์ทุกราคาจ้า,0
1NWLAtbpizOMBg0Rq1ki7DzeaKQfH8,,1
1NWLAILP07GrVXsJ9xsGvKcHd0p4et,,1
1NWLBtAAGstQ13fjmp1R6fqDTvCEOG,"เติมความสดชื่นด้วยคูปองซื้อเครื่องดื่มสตาร์บัคส์ประเภทใดก็ได้ ขนาด 12 ออนซ์ขึ้นไป 1 แก้ว รับฟรี 1 แก้ว* 


เพียงตอบคำถามง่ายๆ ถูกครบ 3 ข้อ ก็รับคูปองไปเลย ร่วมสนุกได้จนถึง 29 ส.ค. 61 และใช้คูปองได้จนถึง 7 ก.ย. 61 เฉพาะวันจันทร์ - ศุกร์ เวลา 14.00 - 24.00 น.",0
1NWLD1dpdUrrC90Mh2Tm0xCefcfekH,U BEER 3 ขวด 100 บาทถ้วน,1
1NWLDKplAPPRc1WenbugHo14zh1zwq,รับฟรีทันที เครื่องดื่ม เมื่อสั่ง5 เซ็ทสุดคุ้มจาก Baba Thai สังผ่าน wongnai ฟรีค่าส่ง 75 บาท,0
1NWLAvNz8rJHM6tPPbHmKr9WujZT7e,"เปิดตัวเมนูใหม่ล่าสุดด~ “นมหนึบภูเขาไฟ”🍼🌋 



ราคาเพียง 69 บาท ซื้อสองแก้ว 120 บาท❗️



มีให้เลือก 4 รสชาติ นมสด นมชมพู ชาเขียว



ชาไทย ",0
1NWLClrvwtjbYizmWJsN4ESS7tNAEi,,1
1NWLBvzqaJ08rM6cKJJuXNBl6T1JHz,Hdjjdiwjus,1
1NWL9rsO4XMxedV39W6CK3khlLiH9m,ชุดสุดประหยัด กับพิซซ่าสไตล์อิตาเลียน มีให้เลือกถึง 5 หน้า พร้อมสลัด 3สไตล์ และขนมปังกระเทียม ในราคาเพียง 249 บาท (Extra cheese +50฿),0
1NWLCJ2HyayykXnzEyZTal2wPC1XnY,หอยนางรมสดจากฟาร์มเราเอง20ตัว550บาท,1
1NWLD8aEY93PHjnNQF4B9Gq0IGUboF,,0
1NWLB4yKRLKdTngK6RLevlnBcrhF6v,,0
1NWLCk0eXt9o2p0TpVbKCWnJezYMhi,อร่อย จบนะ,1
1NWLAaYCXNPGSwX0siz41aQyRoYOS4,,0
1NWLCXxiVi6M10GVX5iv13jNbxIjvW,"เค้กนมสด ใหม่สดทุกวัน


เค้กส้มสด


เค้กใบเตยแท้


เค้กสตรอเบอรี่


เค้กวนิลา เค้กกาแฟ เค้กชอคโกแลต (มีทั้งแบบธรรมดา และเคลือบแข็ง)





มีบริการเครื่องดื่มร้อนเย็น นมสด กาแฟ ไอศครีม


 ",1
1NWLBI5ebwobqPJoKweWVVGWl97Hyu,"พิเศษเฉพาะลูกค้าที่กดไลค์และทำการจองโต๊ะผ่าน INBOX 


กรุณาจองผ่าน INBOX Facebook ล่วงหน้า 1 วัน


ท่องกี่ภัตตาคารจัดรายการพิเศษสำหรับ เดือนแห่งวันแม่





ด้วยโปรโมชั่นพิเศษตลอดเดือนสิงหาคม 


""หมูหันหนังกรอบ จากราคาปกติ1800 เหลือเพียงราคาพิเศษ 900 บาท"" โดยใช้หมูตัวใหญ่ เกรดA คุณภาพล้นจาน


ตั้งแต่วันที่ 1 สิงหาคม 2018 จนถึง 31 สิงหาคม 2018 


เวลา 11.00-21.00 น. 


อิ่มอร่อยกันทั้งวัน, ทั้งเดือน


เฉพาะรับประทานอาหารในร้านเท่านั้น",0
1NWLCa6ZQTIzjqPyrtZfn2CgaQmDBh,โปรโมชั่นซื้อน้ำใบเตยตะไคร้หรือน้ำอัญชันหรือคละน้ำได้ซื้อ 2แถม1,0
1NWLD7GCIQauBaP3AYUid5tOKKeojf,,1
1NWLAZRluxLZ0uubDMgp1PHwV2bQD6,,1
1NWLBsM6FY0Ym08761WlvbVlPllyZY,,1
1NWLBSQFedNg9MIgIz3poQ83QfX71V,,1
1NWLA4Br5kbYb1BxDfaOtQ17ONo7Kc,โปรโมชั่น รับหน้าฝน กับโปร สั่ง2 แถม 1 เมื่อสั่งเครื่องดื่มทุกอย่าง ก่อน 4 ทุ่ม (คละได้) เฉพาะวันจันทร์- พฤหัส  ตั้งแต่18.00-22.00,1
1NWLB7nhDBlIkE5Wjg9h5FJNFMrTWc,"11-12 สิงหานี้


ทานครบ 300 บาท รับฟรี! เครื่องดื่ม 1 แก้ว


พิเศษสุด! พาคุณแม่มาทานด้วย รับฟรี! มินิวาฟเฟิล 1 ที่",1
1NWLBqv7ODub2WEc1kjDD4h5DEdal1,สมาชิก,0
1NWLAqamKrBxHC55MTHOJ329MmR50I,เกาเหลากุ้งสด,1
1NWLC7TPLPhT2aBMjlfOdR2G7km72w,"หาของฝากจากเชียงใหม่ให้คนที่เรารัก ... 🐷หมูยอใบตอง อร่อยๆ จากบ้านนินตรา ซิคะ.  สัมผัสเนื้อหมูแบบเต็มคำ





พิเศษ!!!  (เฉพาะ วันที่1-2 ก.ย.นี้เท่านั้นจ้ะ)


ซื้อ 6 แถม 1 





ติดต่อ


Line@ : https://line.me/R/ti/p/%40mcg6289w",0
1NWLCjwclFfcFeDMoVX1lkPmjO4QoY,ร้านBigbag Cafe’ หน้าศุภาลัยคอนโดเกษตรนวมินทร์ บรรยากาศดีมากๆค่ะ,1
1NWLArIrffCyiIvsnMb4Wm9uZmjkxT,ส่วนลด 20% เมื่อพาคุณแม่มาทานอาหารภายในร้าน,0
1NWLB7nRuv1ziZFSd6ufDbtuzSi4uT,,1
1NWLBLnKR9kMBkEKMg3oOHbxOS0z2d,,0
1NWLD4aKuo1XlpTE1rQiMJSgCo1OmA,"โปรโมชั่น ฉลอง วันเกิด   มา4 จ่าย 3 เจ้าของวันเกิดทานฟรี พร้อมรับของขวัญสุดพิเศษ  เค้กฟรีจ้า


***กรุณาจองล่วงหน้า รายละเอียดเพิ่มเติมโทร + 66 (2) 659 9000 ต่อ 9000, 7330",0
1NWLB7nLfdTHAUPPIs9XERUkqGMLIP,,1
1NWLCLHTJu39DqR4UBkwM2zmmHogcW,"#บะหมี่มันกุ้ง💥



ของต้องกินเลยนะคะ 🙊🙊🙊



ใครไม่กินถือว่ามาไม่ถึงร้านนายใบ้-ราชพฤกษ์







",1
1NWLClrQecONgawmoI3A7cxFzvfaKC,,1
1NWLAIAC4Kcc9axUL26EXBlFGuGfai,,1
1NWLCIlURZoDSSRsSSrFGezWSIPbBj,"จัดโปรโมชั่นวันนี้-9กันยา61 ซื้อหัวกุ้ง 10 ไม้ แถม 1 ไม้ ตัวกุ้ง 10 ไม้แถม 2 ไม้


",0
1NWLCTmMMjBzKmN7O0QyNEgINU04o1,ห้องคาราโอเกะ ลด 50%,0
1NWLCdYE2BcX0jUyM27ZdlSK7gm5T9,🔴 ช่วงนี้มีโปรโมชั่น “ ข้าวต้มฟรี “ สวนกะเเสเศรษฐกิจ ยาวๆถึงสิ้นนี้เลยนะครับ,0
1NWLAHzgCWGxRtQufZtvz6GVslWHhK,,1
1NWLCtfpm95IFmkANgsUOnMIbfICYV,ไอศกรีมข้าวเหนียวทุเรียนจากราคา 59 บาท ลดเหลือ 49 บาท,0
1NWLCeyBidt1qWgDLrKuUoyw5oTOFX,,1
1NWLA5Cou5I4zUfLA0CFE07csmChj8,,0
1NWLAbitWogmRShyNwUP4XubgZFSo2,สะสมแสตมป์ครบ 10 ดวง รับฟรีเครื่องดื่ม 1 แก้ว,1
1NWLD1daCMWmMUw1bo1zpzX77EYldc,เมนูชุดสุดคุ้ม อร่อยเลือกได้,0
1NWL9pAOoRarKoalygd2ibfiAEDUeg,สำหรับชาว Wongnai ที่รักการปิ้งย่าง และเป็นสายล่าเนื้อ! เพียงแสดงแอปพลิเคชัน Wongnai ให้ทางร้าน รับไปเลยส่วนลด วันจันทร์-พฤหัส 30% และ วันศุกร์-อาทิตย์ 20% ไม่รวมเครื่องดื่ม รีบไปโดนกันได้ตั้งแต่วันนี้ - 30 ก.ย. 2561 เลยค่า :) อ่านต่อได้ที่ https://www.wongnai.com/articles/stamina-en-yakiniku?ref=ct,0
1NWLBmXXYxouctVBCskuIxGlEIbK63,ลิปอาย,1
1NWLCMd7qWrwMHSgmE337UYgWuBj3e,"โปรฯ 10 แถม 1



ยอดซื้อสะสมครบ 10 ปอนด์ ฟรี 1 ปอนด์ (ยกเว้นฟรุตเค้ก)",1
1NWLAvnEIul1urJbSwSmo2gEJEJQUx,"1. กด Like เพจ https://www.facebook.com/pg/SanaeBeachClub/



2. กด Share เพจ https://www.facebook.com/pg/SanaeBeachClub/ (ตั้งเป็นสาธารณะ)



3. โชว์ Like & Share กับพนักงาน พร้อมรับ CODE ส่วนลด อาหาร และ เครืองดื่ม 20%







สอบถามเพิ่มเติมได้ที่ 032 - 900971",0
1NWLCero9N6MnhWAAUBCD1smahtXmZ,เหนื่อยนักก็พัก armitycoffee,1
1NWLAaqrHeuN5v1sjZozPEqG5fNmhx,เนื้อวัว หมู หมักมานุ่ม ส่วนไก่เนื้อหน้าอกก็นุ่มแบบไม่น่าเชื่อ กุ้งสด ผักต้มกำลังกรอบ ไม่แข็ง ไม่เละ น้ำแกงอาจจะจืดสำหรับหลายๆคน แต่ใส่น้ำจิ้มหน่อย รสชาติกลมกล่อม กำลังดี,1
1NWLBGcc83Q2Q30q6Hz1lf1STzQ1tS,DivideDarkChoc เข้มข้น อร่อยแบบไม่รู้สึกผิด เพราะเป็นสูตร No Sugar,1
1NWLA9iL7CIJETLdw4efjO9fWYaVz2,ส่งฟรี Delivery ในพื้นที่ 081-6602484,1
1NWLBqu73sYzuFXL4DJsq4gw6cxU10,"โปรโมชั่น “Live Canadian Lobster”กับ 3 เมนูสุดฮิตสไตล์ฮ่องกง ในราคาพิเศษเพียงตัวละ 2,100++ บาทเท่านั้น







📌 ร้านฮ่องกง ฟิชเชอร์แมน, อาคาร 8 ศูนย์แสดงสินค้า อิมแพ็ค เมืองทองธานี



☎️ 02 833 5434-5, 02 833 5437



⏰ เปิดบริการทุกวัน 11.00-22.00 น. Last order 21.30น.",0
1NWLBc4ztw8uXH6LBjmtwBaKhgjwTz,"⭐️Promotion⭐️ Check in ฟรี ไข่ตุ๋น UNI



เพียงแค่มาทานอาหารที่ Shizen kaiseki และเช็คอินผ่านทาง Google รับไปเลยไข่ตุ๋น UNI แสนอร่อย**จัดไปอย่ารอช้า วันนี้ถึงวันที่ 31 สิงหาคมนี้เท่านั่น**



",0
1NWLBWILhzo0za40n7pSueaLpMlSCq,เมื่อสองลิงมาถึง,1
1NWLBfbj8jCoNLikUT9qLoNmSqmxiK,"โปรโมชั่นเปิดร้าน มา 5 จ่าย 4 



หัวละ 129.- รวมน้ำรีฟิลแล้ว



อิ่ม ไม่อั้น ไม่จำกัดเวลา



ถึง 25 สค 61 นี้เท่านั้น 



**โปรใหม่ติดตามได้ในเพจ @จอดแล้วจุ่ม",0
1NWLCIi6gZsGlY8gWC2Mts4B9VLfqE,"LIKE US AND FORLOW US



CHECK IN US 



GET 10 % ",0
1NWLApiXNnIeBrsHr5VKhlegcONJzx,ต้องลอง,1
1NWLBCNGhYc1av11I6qnaZxX6FxaAO,,0
1NWLAQGITA7ik1jH1UrpBq7BteGZpC,โปรโมชั่นเปิดตัวเมนูใหม่ คาราเมลโกโก้,1
1NWLBWMONRfcSNNcxATGMR045SYbB4,Exclusive สำหรับลูกค้า Dtac  รับส่วนลดพิเศษ 20%  ทุกวันอาทิตย์- พฤหัส กับ Dinner  Buffet สุดคุ้ม,0
1NWLA4miKnwAOsgnYW4D8N4HW3qBeW,,0
1NWLBsLmgxgVWWcpvLDjtbRHRLcXT1,,1
1NWLBnJcKmqyJHZz2m7JT1PTrhEapr,,1
1NWLAISHZnRQY2TAhw560s1EU4Xsnu,เมนูโปร,0
1NWLATsdyvbMaJrWvH48SLrMi7zxZa,Chillax and nice place to catching up with friends,1
1NWLCkVO9ypZG9RQ4zlKz7Dv9L3fGG,เนื้อปูเน้นๆ,1
1NWLAfvUf4QbnMyJOZTYCJQ2sfwYy0,กาแฟสดหม้อต้ม mokapot,1
1NWLAhZfprvlwkJGDZD1cdhqYGXsw1,,1
1NWLALRaTsLr9mXarg6JtFVmOtddJb,,1
1NWLC6T48Q1bOtn7eI0vCOXzccxsi2,,1
1NWLCRUkli15WQj0i9aiMyl1jSpBCa,การกลับมาของโปรโมชั่นดีๆ เมื่อซื้อ Cow Cow Ice รสใดก็ได้ แถม Milk Cheese Cookie Porcini & Gouda 1 ชิ้น โอกาสดีๆแบบนี้ รอไม่ได้แล้ววว,0
1NWLC9my0fqwRZXUWbvGgPP4dLNJc2,,1
1NWLDJctQhfWRBAAj66G74vAr0MOC2,"ก๋วยเตี๋ยวหลอดเจ สั่ง 10 ชุด แถม 1 ชุด 


และหากกดไลค์กดแชร์เฟดบุ๊ค 


ของร้าน รับฟรีไปอีก เต้าหู้ทอด 1 ชุด  


FB : ห่อหมกพุดดิ้ง 


คลิ๊ก https://bit.ly/2ORrTIU",0
1NWLBf5HQJ4Noa4shiF5gq8uqJ2J3S,ฟรีเมื่อถ่ายภาพเช็คอินหน้าร้าน,0
1NWLAvLmxqZXn7EfGnQxx9eZbyCQiz,โปรนี้น่ารัก. รับทานขนมเค้ก. เครื่องดื่ม บิงซู ลด 5 % เพียงโพสต์รูปภาพ  และ เช็คอิน ได้ลดทันที,0
1NWLBRBrt5gUoX2HoUiVfo45ovOQbE,"++ มากินกันได้นะจร้า.. ++



!! รับทำอาหารกล่อง ค่าจัดส่งทั่วกรุงเทพและปริมณฑล !!ราคา 99 บาท!!



โทรสั่งอาหาารหรือสั่งล่วงหน้า TEL.086-666-3695",1
1NWLAlOU7hq6G4sOuSC50kZ3F0KO2q,"ส้มตำ 1 แถม 1 หากบอกว่ามาจากวงใน


",0
1NWLCA8UZTGKKA927IAJj8CXnXAx93,มาลองชิม,1
1NWLCOC16lEauJMjLlZhxceyyJ05iX,ลูกค้าทรู ซิกเนเจอร์ จาก 190฿ เหลือ 170฿,0
1NWLCmfJzbBorCtZp1qW0PP8Qa4nrK,,1
1NWLAC2KVzPlmcnC9nIkOnKzI5QEHa,,0
1NWLDJ65ItJ3QzOZT1ZkxyvqluNUit,"สเต็กเนื้อวัวออสเตรเลียลด 50% ฉลองการเปิดสาขาใหม่ ร้านอิ๊กซ์คาเฟ่ 


สาขาม้าไม้การ์เด้นท์ ",0
1NWLCKErcMNssF1ayjozvgwFrJTxV5,Check in,0
1NWLAqzWzSoI4aRkKeL5i7ZYcnLGQf,เพียวแค่ถ่ายรูป Check in รับไปเลยส่วนลด 10% นะคะ,0
1NWLCfc5hsg1SyH7j9bQq4wXAtY4Et,Happy Cheese Toast ลดราคา ทุกเมนู 10% สำหรับลูกค้า Delivery จาก 99 บาท เหลือเพียง 90 บาท หมดเขตสิ้นเดือนกันยายนนี้ !!,0
1NWLB0v7PUvPnCB2rXKvCH9KK5BO4I,"ขอมอบของขวัญแทนคำว่ารักจากแม่นะคะ ❤️🎉🎁


วันอาทิตย์ที่ 12 สิงหาคม 2561 นี้เท่านั้น


เมื่อพาคุณแม่มารับประทานอาหารที่ร้าน 


ครบ 150 บาท รับฟรี! เมี่ยงสดญวนเพื่อสุขภาพ 1 ชุดคะ ",0
1NWLBk2ABoUCrAR3bt7kMRudqerOQj,ชิม โพสต์รูป พร้อมกับ รีวิวร้าน รับฟรี โอเลี้ยงหรือชาดำเย็น,0
1NWLAtczLqyo4se0LBg05oUwf6oEcd,นำแก้วมาเอง ลดทันที 5 บาท,0
1NWLD3HXDU3NIZcVCOOVZGFClnaPdf,,1
1NWLD2R5GGaBbVMVBBZa51XBDSIJXt,"1 ชุด 35฿ , 3 ชุด 100฿",1
